"","V1","V2"
"2773","Bar Fridge only refrigerator","1"
"2774","Two shelves in fridge for use refrigerator","1"
"2775","Bose Solo 5 soundbar Bluetooth sound system","1"
"2776","un kit completo solo para la primera noche shampoo","1"
"2777","Khiels conditioner","1"
"2778","Paid parking garage off premises u2013 40 per day","1"
"2779","Khiels body soap","1"
"2780","HDTV with Netflix Amazon Prime Video Chromecast standard cable premium cable HBO Max","1"
"2781","Tivoli sound system with Bluetooth and aux","1"
"2782","Paid parking garage on premises u2013 BRL20 per day 1 space","1"
"2783","Tresemmu00e9 conditioner","1"
"2784","Tresemmu00e9 shampoo","1"
"2785","Unknown electric stove","1"
"2786","continental refrigerator","1"
"2787","bosch stainless steel gas stove","1"
"2788","badedasnivea body soap","1"
"2789","En u00e1reas comunes refrigerator","1"
"2790","tramontina gas stove","1"
"2791","elu00e9trico novo stainless steel oven","1"
"2792","Consul novo refrigerator","1"
"2793","NEUTRO body soap","1"
"2794","ONKYO sound system with aux","1"
"2795","DAEWOO refrigerator","1"
"2796","124","1"
"2797","Palmolive  Clear shampoo","1"
"2798","Pioneer sound system with Bluetooth and aux","1"
"2799","Convencional oven","1"
"2800","Protex shampoo","1"
"2801","Hunter  made naturally in Melbourne Australia conditioner","1"
"2802","yves rocher body soap","1"
"2803","gorenje refrigerator","1"
"2804","Paid street parking off premises u2013 MXN10 per hour","1"
"2805","Nivea  Dove body soap","1"
"2806","Blanko stainless steel gas stove","1"
"2807","Paid parking lot on premises u2013 40 spaces","1"
"2808","Cambridge Soundworks sound system with aux","1"
"2809","Aru00e7elik gas stove","1"
"2810","Paid parking garage on premises u2013 30 spaces","1"
"2811","induzione induction stove","1"
"2812","Wifi u2013 430 Mbps","1"
"2813","westinghouse  refrigerator","1"
"2814","Brastemp  gas stove","1"
"2815","Brastemp inverse refrigerator","1"
"2816","smeg stainless steel electric stove","1"
"2817","Arcelik gas stove","1"
"2818","Arcelik oven","1"
"2819","Paid street parking off premises u2013 EUR35 per stay","1"
"2820","17","1"
"2821","Paid parking garage off premises u2013 MXN15 per day","1"
"2822","BOSE  SONY sound system with Bluetooth and aux","1"
"2823","stove top gas stove","1"
"2824","Naturys Flores Estoril 10g Hipoalergu00eanico body soap","1"
"2825","Franck Provost conditioner","1"
"2826","31","1"
"2827","seb oven","1"
"2828","avec friseur refrigerator","1"
"2829","2 ru00e9frigu00e9rateur encastru00e9s refrigerator","1"
"2830","encastru00e9 induction stove","1"
"2831","four combinu00e9 micro onde gril four chaleur tournante oven","1"
"2832","Coslys body soap","1"
"2833","Far refrigerator","1"
"2834","Panasonic sound system with Bluetooth and aux","1"
"2835","Brandt stainless steel oven","1"
"2836","ONKYO sound system","1"
"2837","Dedicated workspace table and monitor","1"
"2838","MiniFour oven","1"
"2839","LOru00e9al conditioner","1"
"2840","Amu00e9ricain refrigerator","1"
"2841","Naim audio et enceintes avant Scu00e8ne sound system","1"
"2842","pur savon de Marseille body soap","1"
"2843","HDTV with Amazon Prime Video Netflix HBO Max premium cable","1"
"2844","Monoprix body soap","1"
"2845","Dop petit marseillais conditioner","1"
"2846","Clothing storage dresser walkin closet and closet","1"
"2847","Wonderboom Bluetooth sound system","1"
"2848","Dop or le petit marseillais shampoo","1"
"2849","103","1"
"2850","PANASONIC sound system","1"
"2851","Wifi u2013 1024 Mbps","2"
"2852","Wifi u2013 900 Mbps","1"
"2853","Enceinte Bose  Bluetooth sound system","1"
"2854","HiFI CD and radio sound system","1"
"2855","Marshall  sound system with Bluetooth and aux","1"
"2856","Paid parking garage on premises u2013 EUR10 per day 1 space","1"
"2857","Philips Bluetooth sound system","1"
"2858","Lu2019Oru00e9al  conditioner","1"
"2859","Petit marseillais  body soap","1"
"2860","Lu2019oreal shampoo","1"
"2861","LOREAL  FAITH in NATURE conditioner","1"
"2862","Le CREUSET LUXURY induction stove","1"
"2863","Devialet Bluetooth sound system","1"
"2864","SCOTT sound system with aux","1"
"2865","Gautier Bluetooth sound system","1"
